"Font File","Plane","Block range","Block name","Code points[a]","Assigned characters","Scripts[b][c][d][e][f]","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+A720..U+A7FF","Latin Extended-D","224","180","Latin (175 characters), Common (5 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+A800..U+A82F","Syloti Nagri","48","45","Syloti Nagri","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+A830..U+A83F","Common Indic Number Forms","16","10","Common","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+A840..U+A87F","Phags-pa","64","56","Phags Pa","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+A880..U+A8DF","Saurashtra","96","82","Saurashtra","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+A8E0..U+A8FF","Devanagari Extended","32","32","Devanagari","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+A900..U+A92F","Kayah Li","48","48","Kayah Li (47 characters), Common (1 character)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+A930..U+A95F","Rejang","48","37","Rejang","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+A960..U+A97F","Hangul Jamo Extended-A","32","29","Hangul","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+A980..U+A9DF","Javanese","96","91","Javanese (90 characters), Common (1 character)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+A9E0..U+A9FF","Myanmar Extended-B","32","31","Myanmar","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+AA00..U+AA5F","Cham","96","83","Cham","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+AA60..U+AA7F","Myanmar Extended-A","32","32","Myanmar","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+AA80..U+AADF","Tai Viet","96","72","Tai Viet","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+AAE0..U+AAFF","Meetei Mayek Extensions","32","23","Meetei Mayek","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+AB00..U+AB2F","Ethiopic Extended-A","48","32","Ethiopic","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+AB30..U+AB6F","Latin Extended-E","64","60","Latin (56 characters), Greek (1 character), Common (3 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+AB70..U+ABBF","Cherokee Supplement","80","80","Cherokee","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+ABC0..U+ABFF","Meetei Mayek","64","56","Meetei Mayek","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+AC00..U+D7AF","Hangul Syllables","11,184","11,172","Hangul","","","","","","","","","","","","","","","","","","","",""
